course_code,course,year,day,time,module,type,location,professor,weeks,course_for
LM020,Bachelor of Arts in Law and Accounting,1,Monday,09:00 - 10:00,AC4002,TUT,3J, EGAN VANESSA MS,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,09:00 - 10:00,EC4102,TUT,3J, TA1ECO ,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,09:00 - 10:00,LA4222,TUT,3G, MC CUTCHEON PAUL PROFESSOR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,09:00 - 10:00,LA4222,TUT,3G, MC CUTCHEON PAUL PROFESSOR,"3,5,9,12",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,10:00 - 11:00,AC4002,LEC,1A, EGAN VANESSA MS,"1-9,11-12","Online Yr 1,3"
LM020,Bachelor of Arts in Law and Accounting,1,Monday,10:00 - 11:00,AC4002,LEC,1B, EGAN VANESSA MS,"1-9,11-12","Online Yr 1,3"
LM020,Bachelor of Arts in Law and Accounting,1,Monday,11:00 - 12:00,LA4122,TUT,3G, HEALY STEPHEN MR,"1-2,4-6,8-9,11,13",Online Yr 4
LM020,Bachelor of Arts in Law and Accounting,1,Monday,11:00 - 12:00,LA4122,TUT,3G, HEALY STEPHEN MR,"3,7,12",Online Yr 4
LM020,Bachelor of Arts in Law and Accounting,1,Monday,11:00 - 12:00,MA4302,LEC,, SWEENEY JAMES DR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,11:00 - 13:00,MA4302,LAB,2A, SWEENEY JAMES DR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,14:00 - 15:00,LA4222,TUT,3B, MC CUTCHEON PAUL PROFESSOR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,14:00 - 15:00,LA4222,TUT,3B, MC CUTCHEON PAUL PROFESSOR,"2,6,8,13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,15:00 - 16:00,LA4122,TUT,3E, HEALY STEPHEN MR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,15:00 - 16:00,LA4122,TUT,3E, HEALY STEPHEN MR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,16:00 - 17:00,AC4002,TUT,3F, TA2ACF ,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,17:00 - 18:00,AC4002,TUT,3G, TA2ACF ,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Monday,17:00 - 18:00,AC4002,TUT,3L, EGAN VANESSA MS,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,09:00 - 10:00,AC4002,TUT,3K, EGAN VANESSA MS,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,09:00 - 11:00,MA4302,LAB,2C, SWEENEY JAMES DR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,10:00 - 11:00,MA4302,LEC,, SWEENEY JAMES DR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,12:00 - 13:00,AC4002,TUT,3C, EGAN-BROWNE CATHERNE MS,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,13:00 - 14:00,AC4002,TUT,3I, TA2ACF ,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,13:00 - 15:00,MA4302,LAB,2B, SWEENEY JAMES DR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,14:00 - 15:00,MA4302,TUT,5A, SWEENEY JAMES DR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,16:00 - 17:00,LA4122,TUT,3A, HEALY STEPHEN MR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,16:00 - 17:00,LA4122,TUT,3A, HEALY STEPHEN MR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,17:00 - 18:00,LA4122,TUT,3D, HEALY STEPHEN MR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Tuesday,17:00 - 18:00,LA4122,TUT,3D, HEALY STEPHEN MR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,10:00 - 11:00,AC4002,TUT,3H, TA2ACF ,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,10:00 - 11:00,LA4122,TUT,3B, HEALY STEPHEN MR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,10:00 - 11:00,LA4122,TUT,3B, HEALY STEPHEN MR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,11:00 - 12:00,AC4002,TUT,3E, EGAN-BROWNE CATHERNE MS,"1-9,11-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,12:00 - 13:00,LA4122,TUT,3C, HEALY STEPHEN MR,"1,4,7,11",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,12:00 - 13:00,LA4122,TUT,3C, HEALY STEPHEN MR,"2-3,5-6,8-9,12-13",Online Yr 1
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,13:00 - 14:00,LA4122,TUT,3I, HEALY STEPHEN MR,"1,5,9",Online Postgrad
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,13:00 - 14:00,LA4122,TUT,3I, HEALY STEPHEN MR,"2-4,6-8,11-13",Online Postgrad
LM020,Bachelor of Arts in Law and Accounting,1,Wednesday,13:00 - 14:00,LA4222,TUT,3A, MC CUTCHEON PAUL PROFESSOR,"1,4,7,11",Online Yr 1
